IP, EA, H-L gap
[6.1786, 2.5465, 1.032587372957]
[5.8515, 2.9397, 0.831508827022]
[5.6688, 3.156, 0.736863529342]
[5.5518, 3.2944, 0.687609925111]
[5.4728, 3.3839, 0.667320266707]
[5.4047, 3.4605, 0.652822998268]
[5.3511, 3.5227, 0.637308038059]
[5.3061, 3.5741, 0.627805622702]
[5.2688, 3.6168, 0.617008572628]
[6.1413, 2.6031, 1.048208318777]
[5.8233, 2.9904, 0.863167573009]
[5.648, 3.2051, 0.777488397783]
[5.5323, 3.3437, 0.731303743706]
[5.4477, 3.4441, 0.702583063772]
[5.3841, 3.5214, 0.684009778122]
[5.3339, 3.5824, 0.671305961601]
[5.2915, 3.629, 0.661788659594]
[5.2564, 3.6681, 0.654800375617]
[6.1154, 2.6653, 1.057269212109]
[5.8083, 3.0536, 0.881750660449]
[5.6397, 3.2624, 0.805023355494]
[5.5302, 3.3998, 0.764971903163]
[5.4484, 3.4941, 0.740151372416]
[5.3884, 3.567, 0.724709211974]
[5.3408, 3.6238, 0.714098142567]
[5.3019, 3.6687, 0.706455063943]
[5.2703, 3.7069, 0.701069029571]
[6.0913, 2.724, 1.061051277831]
[5.7927, 3.1128, 0.891272139743]
[5.6323, 3.3214, 0.82207540429]
[5.5262, 3.4539, 0.786365447562]
[5.4506, 3.5471, 0.765513954173]
[5.3922, 3.6151, 0.751433948516]
[5.3483, 3.6696, 0.742865563641]
[5.3121, 3.7127, 0.736535557565]
[5.282, 3.7481, 0.731840127541]
[6.321, 2.9006, 0.990803651538]
[6.0695, 3.2391, 0.847011368216]
[5.9064, 3.4602, 0.741834082038]
[5.7952, 3.608, 0.677674480919]
[5.7164, 3.7111, 0.641751966549]
[5.6538, 3.7922, 0.614815941949]
[5.603, 3.8579, 0.594742185903]
[5.5622, 3.91, 0.581889948203]
[5.5259, 3.9559, 0.569917305869]
[6.2799, 2.9284, 1.012677130794]
[6.0187, 3.276, 0.8633243437]
[5.858, 3.4862, 0.771072391541]
[5.7519, 3.6225, 0.721114882489]
[5.6742, 3.7219, 0.690675437868]
[5.613, 3.8002, 0.669587493459]
[5.5668, 3.8569, 0.656859482795]
[5.5286, 3.9042, 0.647293302069]
[5.4968, 3.9444, 0.640277377542]
[6.2492, 2.9711, 1.02376730471]
[5.9892, 3.3149, 0.880896989907]
[5.8329, 3.5193, 0.797582916458]
[5.7297, 3.6524, 0.753540178715]
[5.6546, 3.7467, 0.727556671268]
[5.597, 3.8174, 0.710588181201]
[5.553, 3.8742, 0.699976579294]
[5.5166, 3.9188, 0.6920612247]
[5.4865, 3.9565, 0.686527664182]
[6.2211, 3.0132, 1.029226691607]
[5.9623, 3.3588, 0.887797815472]
[5.8095, 3.5582, 0.812430151494]
[5.709, 3.6862, 0.77342645925]
[5.639, 3.7785, 0.752805996714]
[5.5839, 3.845, 0.738158894684]
[5.5429, 3.8985, 0.729922974155]
[5.5083, 3.9406, 0.723221468255]
[5.4796, 3.9756, 0.718451739149]
[5.5486, 2.4727, 0.907468942694]
[5.3681, 2.5297, 1.085101113682]
[5.2383, 2.8028, 0.843236421861]
[5.1435, 2.9879, 0.714561106325]
[5.0745, 3.1172, 0.644477851496]
[5.0056, 3.2741, 0.592981248914]
[4.963, 3.3378, 0.570128906852]
