IP, EA, H-L gap
[5.9658, 3.3554, 0.110954464191]
[5.6952, 3.6895, 0.060567490164]
[5.5373, 3.8825, 0.039749122146]
[5.9179, 3.4143, 0.107404705657]
[5.6383, 3.7534, 0.056772023279]
[5.4794, 3.9417, 0.042634460945]
[5.8861, 3.4671, 0.106127415237]
[5.6016, 3.8093, 0.061175094667]
[5.4451, 3.9982, 0.045575692161]
[5.8601, 3.513, 0.10710679062]
[5.5742, 3.8588, 0.061372815748]
[5.4187, 4.045, 0.049170105546]
[6.1494, 3.6852, 0.097000434629]
[5.9064, 4.0052, 0.054537823824]
[5.767, 4.1929, 0.033600180569]
[6.0981, 3.7199, 0.094593375589]
[5.8381, 4.042, 0.051254602536]
[5.6929, 4.2243, 0.035546283105]
[6.0607, 3.7581, 0.093516732231]
[5.793, 4.0834, 0.05454106847]
[5.6469, 4.2625, 0.041084919424]
[6.0297, 3.7939, 0.091917494575]
[5.7585, 4.1191, 0.055269613534]
[5.6119, 4.2948, 0.045099057314]
[5.5141, 3.2499, 0.069019362161]
[5.3255, 3.5373, 0.040733219248]
[5.2104, 3.7093, 0.026805826352]
[5.4803, 3.3063, 0.071445931685]
[5.2767, 3.5996, 0.056135586815]
[5.1685, 3.7764, 0.036698347174]
[5.4603, 3.3625, 0.073428491881]
[5.2511, 3.6621, 0.06155400517]
[5.1435, 3.838, 0.044741204747]
[5.4354, 3.4074, 0.075884225087]
[5.2383, 3.7183, 0.066493229099]
[5.1286, 3.8926, 0.054076589268]
[6.1262, 3.77, 0.073411912109]
[5.8825, 4.0722, 0.049241280832]
[5.751, 4.2418, 0.009613082907]
[6.0737, 3.8054, 0.069924013396]
[5.8174, 4.0998, 0.057596959224]
[5.6822, 4.2727, 0.034188617635]
[6.0366, 3.8385, 0.069740504059]
[5.7729, 4.129, 0.076820450481]
[5.6351, 4.3003, 0.044104304328]
[6.0071, 3.8674, 0.070096841116]
[5.7382, 4.1586, 0.08439455217]
[5.5996, 4.3271, 0.040203928769]
[5.9018, 3.4417, 0.099576830092]
[5.6471, 3.7506, 0.048714936662]
[5.4973, 3.9258, 0.029212801885]
[5.8611, 3.4902, 0.094669296442]
[5.5971, 3.8018, 0.048289557271]
[5.4454, 3.9797, 0.033332518243]
[5.8318, 3.5378, 0.094970044742]
[5.5638, 3.8544, 0.05064068896]
[5.4132, 4.0315, 0.03838093456]
[5.8091, 3.5788, 0.093551714543]
[5.5383, 3.8996, 0.052495197365]
[5.3895, 4.0753, 0.04130848839]
[6.1754, 3.7462, 0.094972501685]
[5.9237, 4.0596, 0.096882137715]
[5.8033, 4.2581, 0.033304488988]
